"v_index","v_chr","v_start","v_end","v_r_ctcf","v_r_ctcf_strand","v_r_ctcf_motif","v_r_ctcf_cohesin","v_l_ctcf","v_l_ctcf_strand","v_l_ctcf_motif","v_l_ctcf_cohesin","h3k4me3","h3k27ac","atac","pol2","tad_index","v_center"
0,18,0,0.000915353901486047,0.7166848561925,-1,4.20376496601866,1,0,0,-9.96578428466209,0,0.70644466273051,0.483112546789506,0.397986744873236,0.574618538674195,".",0.000457676950743024
1,18,0.000915353901486047,0.00121201964060571,0.66153845943399,-1,4.53692944425172,0,0.577576644210348,-1,4.20376496601866,1,0.733287714304217,0.570183114447806,0.434691455667575,0.648679941906408,".",0.00106368677104588
2,18,0.00121201964060571,0.00356635914533044,0.662056796512484,1,3.51853513898218,1,0.7166848561925,-1,4.53692944425172,0,0.805986252862509,0.69601942228705,0.534523274830224,0.752434496375713,".7980.7981.",0.00238918939296807
3,18,0.00356635914533044,0.00594426369408691,0.697261559656788,-1,3.5632435666656,1,0.66153845943399,1,3.51853513898218,1,0.79716585990685,0.627165264089066,0.51754343823292,0.678967939668602,".7981.",0.00475531141970868
4,18,0.00594426369408691,0.00618594847778089,0.659765497348195,1,3.06943408499906,1,0.662056796512484,-1,3.5632435666656,1,0.804206332654241,0.634335680100389,0.546391405373359,0.669311853595324,".7981.",0.0060651060859339
5,18,0.00618594847778089,0.00742917251671373,0.702080944813916,1,4.26286157263816,1,0.697261559656788,1,3.06943408499906,1,0.785761379851015,0.628647378858837,0.532522152764224,0.670831774728831,".7981.",0.00680756049724731
6,18,0.00742917251671373,0.00767113102320006,0.742866943039508,-1,3.62012889802457,1,0.659765497348195,1,4.26286157263816,1,0.799648961534351,0.64900398830518,0.511818521251781,0.647890560852371,".",0.00755015176995689
7,18,0.00767113102320006,0.00776567736406444,0.76984601568241,0,-9.96578428466209,0,0.702080944813916,-1,3.62012889802457,1,0.796547842688,0.646761257304876,0.510418343930638,0.642885353697501,".7982.7983.",0.00771840419363225
8,18,0.00776567736406444,0.00783815169430987,0.671047305387457,0,-9.96578428466209,0,0.742866943039508,0,-9.96578428466209,0,0.786548441141549,0.550632219667026,0.539537116664252,0.651262158631049,".7982.7983.",0.00780191452918716
9,18,0.00783815169430987,0.00829090163479071,0.66828586235208,1,3.83920378809694,1,0.76984601568241,0,-9.96578428466209,0,0.832673756093093,0.746491157212004,0.588408511289179,0.77257670806871,".7982.7983.",0.00806452666455029
